iter	Logloss
0	0.658503068
1	0.6287089742
2	0.6030330465
3	0.5804179278
4	0.5611765517
5	0.5432044982
6	0.5302599287
7	0.5179067374
8	0.5061348844
9	0.4978272077
10	0.4875600714
11	0.4795297826
12	0.4720954232
13	0.4652077077
14	0.4589627914
15	0.452385963
16	0.4483939377
17	0.4434382472
18	0.4401490261
19	0.4366296512
20	0.43312773
21	0.4306711689
22	0.4277530686
23	0.4249453398
24	0.4224422999
25	0.4199899814
26	0.417638571
27	0.4158798629
28	0.4148311533
29	0.4131616945
30	0.4123775352
31	0.4114475631
32	0.4097954935
33	0.408272653
34	0.4073048184
35	0.4066141202
36	0.4054914491
37	0.4051060555
38	0.40349797
39	0.4023194967
40	0.4013641526
41	0.4008731603
42	0.3999532249
43	0.3993279973
44	0.3983447261
45	0.3977156204
46	0.3973337524
47	0.3970583553
48	0.3967758897
49	0.3960146331
50	0.3951910533
51	0.3944559593
52	0.3932867857
53	0.393108643
54	0.3924947313
55	0.3918613792
56	0.3909222259
57	0.3903199622
58	0.3900282249
59	0.3898525403
60	0.3894270485
61	0.3889943505
62	0.3888132137
63	0.388785915
64	0.3884921825
65	0.3879414191
66	0.3878156028
67	0.387709265
68	0.3874487789
69	0.3869754515
70	0.3869700208
71	0.3868528998
72	0.3864818123
73	0.3856136061
74	0.3853343271
75	0.3852718058
76	0.3852044104
77	0.3844037956
78	0.3842754986
79	0.3840372701
80	0.3839986469
81	0.3837744036
82	0.3837053574
83	0.3834878062
84	0.3833377903
85	0.3830970712
86	0.3828798925
87	0.3825842676
88	0.382529022
89	0.3819835868
90	0.3815812922
91	0.3814444714
92	0.3811239402
93	0.3807321082
94	0.3802480528
95	0.380223637
96	0.3798956628
97	0.3798420243
98	0.3798331487
99	0.3797814925
100	0.3797165541
101	0.3794409583
102	0.3788531558
103	0.3785883834
104	0.3782747098
105	0.3777519691
106	0.3775189832
107	0.3771494462
108	0.3766669288
109	0.3764416471
110	0.3757463594
111	0.3756883345
112	0.3755062137
113	0.3749896051
114	0.3746297293
115	0.3744446461
116	0.374352809
117	0.3740190912
118	0.3740190528
119	0.3739006315
120	0.3733094102
121	0.3732555632
122	0.373120235
123	0.3729720393
124	0.3726774827
125	0.3724601799
126	0.3722191436
127	0.3722190458
128	0.3721228731
129	0.3720091754
130	0.3718373112
131	0.3714861102
132	0.3711800961
133	0.3710374415
134	0.3710373573
135	0.371029356
136	0.3706987947
137	0.3704964253
138	0.3700027268
139	0.3699824589
140	0.3699521672
141	0.3699017737
142	0.3692774131
143	0.3690945394
144	0.3690471039
145	0.3689763928
146	0.3687846355
147	0.3684941792
148	0.3680497841
149	0.3677046303
150	0.3670693915
151	0.3666832374
152	0.3666532187
153	0.3666531721
154	0.3664329172
155	0.3658613194
156	0.3658578914
157	0.3651815318
158	0.3645296245
159	0.3642200893
160	0.3640484242
161	0.3639403932
162	0.3634384699
163	0.3633439175
164	0.3628652763
165	0.3627381615
166	0.3625115537
167	0.3624194309
168	0.3622276268
169	0.3621073242
170	0.3617420393
171	0.3616390633
172	0.3614610066
173	0.360914355
174	0.3606199046
175	0.3605678381
176	0.3603236614
177	0.3599518775
178	0.359951669
179	0.3595641413
180	0.3593596778
181	0.3590848478
182	0.358993588
183	0.3586822649
184	0.3585513093
185	0.358472566
186	0.3579984408
187	0.3576453886
188	0.3571089365
189	0.3567805144
190	0.3563410458
191	0.3560034845
192	0.3557308609
193	0.3553290455
194	0.3551376193
195	0.3546258491
196	0.354419367
197	0.354176442
198	0.3536027417
199	0.3531373883
