iter	Passed	Remaining
419	10520	14528
420	10542	14499
421	10563	14468
422	10587	14441
423	10610	14414
424	10634	14387
425	10658	14361
426	10682	14335
427	10708	14311
428	10741	14296
429	10764	14269
430	10790	14245
431	10816	14221
432	10840	14195
433	10864	14168
434	10888	14143
435	10916	14121
436	10940	14095
437	10963	14067
438	10987	14041
439	11013	14017
440	11037	13990
441	11063	13966
442	11086	13939
443	11108	13910
444	11136	13889
445	11158	13860
446	11180	13831
447	11204	13805
448	11226	13776
449	11250	13750
450	11274	13724
451	11299	13699
452	11324	13673
453	11352	13652
454	11375	13625
455	11398	13598
456	11422	13571
457	11443	13542
458	11463	13512
459	11485	13483
460	11509	13456
461	11533	13430
462	11557	13404
463	11582	13379
464	11603	13350
465	11624	13320
466	11649	13295
467	11673	13269
468	11696	13243
469	11721	13217
470	11747	13193
471	11771	13168
472	11795	13141
473	11817	13113
474	11840	13086
475	11865	13062
476	11888	13034
477	11911	13007
478	11935	12982
479	11959	12956
480	11984	12930
481	12006	12903
482	12029	12876
483	12057	12854
484	12079	12826
485	12107	12805
486	12132	12779
487	12153	12751
488	12176	12724
489	12201	12699
490	12222	12670
491	12246	12644
492	12269	12617
493	12290	12589
494	12313	12562
495	12339	12538
496	12361	12510
497	12385	12484
498	12410	12460
499	12432	12432
500	12456	12406
501	12479	12379
502	12501	12351
503	12522	12324
504	12545	12297
505	12567	12269
506	12590	12242
507	12614	12217
508	12636	12189
509	12659	12163
510	12684	12138
511	12706	12110
512	12730	12085
513	12755	12061
514	12783	12038
515	12810	12015
516	12834	11990
517	12861	11968
518	12886	11942
519	12912	11919
520	12935	11892
521	12959	11866
522	12982	11840
523	13005	11814
524	13030	11789
525	13053	11762
526	13078	11738
527	13100	11710
528	13122	11683
529	13145	11657
530	13166	11628
531	13189	11602
532	13211	11575
533	13233	11548
534	13258	11523
535	13281	11497
536	13304	11471
537	13329	11446
538	13353	11420
539	13374	11393
540	13397	11366
541	13419	11339
542	13440	11312
543	13463	11285
544	13486	11259
545	13508	11232
546	13530	11205
547	13552	11177
548	13575	11152
549	13597	11125
550	13618	11097
551	13641	11071
552	13666	11047
553	13689	11021
554	13714	10996
555	13739	10971
556	13761	10945
557	13783	10917
558	13804	10890
559	13829	10866
560	13851	10839
561	13877	10815
562	13900	10789
563	13922	10763
564	13948	10738
565	13971	10713
566	13996	10688
567	14020	10663
568	14044	10638
569	14069	10613
570	14094	10589
571	14116	10562
572	14138	10535
573	14161	10510
574	14187	10486
575	14209	10459
576	14233	10434
577	14254	10407
578	14279	10382
579	14305	10358
580	14326	10332
581	14349	10306
582	14372	10279
583	14393	10253
584	14419	10228
585	14442	10203
586	14465	10177
587	14490	10153
588	14514	10128
589	14538	10102
590	14560	10076
591	14585	10051
592	14607	10025
593	14629	9999
594	14654	9974
595	14677	9949
596	14700	9923
597	14728	9900
598	14750	9874
599	14774	9849
600	14797	9823
601	14819	9797
602	14842	9772
603	14864	9745
604	14887	9719
605	14908	9692
606	14935	9669
607	14959	9644
608	14981	9618
609	15003	9592
610	15026	9566
611	15049	9541
612	15075	9517
613	15101	9493
614	15127	9470
615	15155	9447
616	15182	9424
617	15211	9402
618	15237	9378
619	15263	9354
620	15286	9329
621	15310	9304
622	15334	9279
623	15362	9256
624	15392	9235
625	15415	9210
626	15439	9185
627	15464	9160
628	15487	9134
629	15509	9108
630	15530	9082
631	15556	9058
632	15580	9033
633	15605	9008
634	15629	8984
635	15656	8960
636	15680	8935
637	15707	8912
638	15731	8887
639	15754	8861
640	15781	8838
641	15805	8813
642	15828	8788
643	15851	8762
644	15875	8737
645	15898	8712
646	15921	8686
647	15945	8661
648	15967	8635
649	15993	8612
650	16020	8588
651	16051	8567
652	16080	8544
653	16106	8520
654	16137	8499
655	16161	8474
656	16187	8450
657	16216	8428
658	16240	8403
659	16269	8381
660	16293	8356
661	16319	8332
662	16346	8308
663	16370	8283
664	16393	8258
665	16418	8234
666	16443	8209
667	16467	8184
668	16493	8160
669	16517	8135
670	16539	8109
671	16562	8083
672	16583	8057
673	16608	8033
674	16633	8008
675	16660	7985
676	16685	7960
677	16711	7936
678	16732	7910
679	16755	7884
680	16778	7859
681	16801	7834
682	16824	7808
683	16850	7784
684	16875	7760
685	16898	7734
686	16921	7709
687	16943	7683
688	16964	7657
689	16987	7631
690	17009	7606
691	17033	7581
692	17059	7557
693	17084	7533
694	17108	7508
695	17130	7482
696	17156	7458
697	17181	7433
698	17206	7409
699	17228	7383
700	17251	7358
701	17276	7333
702	17300	7309
703	17323	7283
704	17347	7258
705	17371	7234
706	17397	7210
707	17420	7184
708	17443	7159
709	17464	7133
710	17488	7108
711	17512	7083
712	17537	7059
713	17558	7033
714	17580	7007
715	17601	6981
716	17625	6956
717	17648	6931
718	17670	6906
719	17694	6881
720	17720	6857
721	17745	6832
722	17772	6809
723	17796	6784
724	17817	6758
725	17839	6732
726	17864	6708
727	17889	6683
728	17913	6659
729	17939	6635
730	17966	6611
731	17988	6586
732	18014	6561
733	18037	6536
734	18066	6513
735	18092	6489
736	18116	6464
737	18141	6440
738	18168	6416
739	18191	6391
740	18215	6366
741	18243	6343
742	18268	6318
743	18293	6294
744	18318	6269
745	18342	6245
746	18366	6220
747	18392	6196
748	18418	6172
749	18443	6147
750	18467	6123
751	18491	6098
752	18515	6073
753	18539	6048
754	18562	6023
755	18584	5998
756	18608	5973
757	18631	5948
758	18658	5924
759	18680	5899
760	18705	5874
761	18729	5849
762	18752	5824
763	18779	5801
764	18800	5775
765	18823	5750
766	18850	5726
767	18874	5701
768	18897	5676
769	18919	5651
770	18943	5626
771	18965	5601
772	18991	5576
773	19014	5552
774	19039	5527
775	19066	5503
776	19091	5479
777	19113	5454
778	19141	5430
779	19164	5405
780	19190	5381
781	19224	5359
782	19248	5334
783	19271	5309
784	19296	5285
785	19319	5260
786	19343	5235
787	19367	5210
788	19391	5185
789	19418	5162
790	19441	5137
791	19466	5112
792	19491	5088
793	19515	5063
794	19539	5038
795	19565	5014
796	19588	4989
797	19613	4964
798	19638	4940
799	19663	4915
800	19688	4891
801	19710	4866
802	19734	4841
803	19757	4816
804	19782	4792
805	19807	4767
806	19831	4742
807	19854	4717
808	19878	4693
809	19900	4667
810	19922	4642
811	19948	4618
812	19970	4593
813	19994	4568
814	20019	4544
815	20050	4521
816	20076	4496
817	20099	4472
818	20124	4447
819	20147	4422
820	20170	4397
821	20194	4372
822	20215	4347
823	20239	4323
824	20263	4298
825	20290	4274
826	20313	4249
827	20337	4224
828	20361	4200
829	20384	4175
830	20408	4150
831	20431	4125
832	20459	4101
833	20486	4077
834	20513	4053
835	20536	4028
836	20558	4003
837	20582	3979
838	20606	3954
839	20629	3929
840	20654	3904
841	20682	3880
842	20705	3856
843	20732	3832
844	20755	3807
845	20781	3782
846	20805	3758
847	20828	3733
848	20855	3709
849	20878	3684
850	20905	3660
851	20931	3635
852	20956	3611
853	20979	3586
854	21002	3561
855	21025	3537
856	21050	3512
857	21074	3487
858	21099	3463
859	21124	3438
860	21152	3414
861	21175	3389
862	21196	3364
863	21220	3340
864	21245	3315
865	21269	3291
866	21294	3266
867	21315	3241
868	21339	3216
869	21364	3192
870	21387	3167
871	21408	3142
872	21434	3118
873	21460	3093
874	21484	3069
875	21506	3044
876	21532	3019
877	21556	2995
878	21605	2974
879	21638	2950
880	21669	2926
881	21695	2902
882	21718	2877
883	21739	2852
884	21766	2828
885	21792	2804
886	21816	2779
887	21841	2754
888	21865	2730
889	21891	2705
890	21916	2681
891	21941	2656
892	21966	2632
893	21990	2607
894	22015	2582
895	22042	2558
896	22067	2533
897	22091	2509
898	22119	2485
899	22147	2460
900	22172	2436
901	22201	2412
902	22227	2387
903	22250	2362
904	22274	2338
905	22296	2313
906	22322	2288
907	22346	2264
908	22369	2239
909	22397	2215
910	22420	2190
911	22444	2165
912	22469	2141
913	22495	2116
914	22519	2091
915	22544	2067
916	22570	2042
917	22596	2018
918	22620	1993
919	22645	1969
920	22669	1944
921	22692	1919
922	22717	1895
923	22742	1870
924	22768	1846
925	22792	1821
926	22820	1797
927	22842	1772
928	22866	1747
929	22888	1722
930	22912	1698
931	22935	1673
932	22958	1648
933	22982	1624
934	23005	1599
935	23028	1574
936	23054	1550
937	23076	1525
938	23103	1500
939	23125	1476
940	23150	1451
941	23175	1426
942	23201	1402
943	23226	1377
944	23251	1353
945	23276	1328
946	23299	1303
947	23322	1279
948	23346	1254
949	23369	1229
950	23393	1205
951	23418	1180
952	23442	1156
953	23467	1131
954	23493	1107
955	23516	1082
956	23542	1057
957	23566	1033
958	23590	1008
959	23616	984
960	23642	959
961	23668	934
962	23695	910
963	23724	885
964	23747	861
965	23771	836
966	23794	812
967	23818	787
968	23839	762
969	23864	738
970	23889	713
971	23915	688
972	23938	664
973	23967	639
974	23990	615
975	24013	590
976	24038	565
977	24061	541
978	24090	516
979	24115	492
980	24141	467
981	24166	442
982	24191	418
983	24216	393
984	24241	369
985	24266	344
986	24290	319
987	24316	295
988	24341	270
989	24366	246
990	24390	221
991	24414	196
992	24440	172
993	24466	147
994	24493	123
995	24518	98
996	24541	73
997	24568	49
998	24592	24
999	24615	0
